FBpp_ID,id,Protein_symbol
FBpp0077749,724,CG11885-PA
FBpp0077750,725,CG13690-PA
FBpp0077752,726,CG4213-PA
FBpp0077753,727,Ent1-PA
FBpp0077755,728,CG31921-PA
FBpp0077757,729,CG11911-PA
FBpp0077758,730,CG11912-PA
FBpp0077759,731,dbr-PB
FBpp0077760,732,galectin-PA
FBpp0290947,733,galectin-PB
FBpp0291374,734,galectin-PE
FBpp0297498,735,galectin-PD
FBpp0304069,736,galectin-PF
FBpp0297499,737,CG11374-PC
FBpp0077762,738,Zir-PA
FBpp0077763,739,CG11377-PA
FBpp0303486,740,CG11377-PB
FBpp0077773,741,Gs1-PB
FBpp0077775,742,CG11454-PA
FBpp0077776,743,ND-15-PA
FBpp0303489,744,ND-15-PH
FBpp0077778,745,CG3436-PA
FBpp0077783,746,mRpL10-PA
FBpp0077784,747,Tbc1d15-17-PA
FBpp0077785,748,CG13693-PA
FBpp0077786,749,CG3345-PA
FBpp0077788,750,smo-PA
FBpp0077789,751,CG11562-PA
FBpp0077790,752,Stip1-PA
FBpp0303632,753,Pi3K21B-PB
FBpp0303633,754,Pi3K21B-PC
FBpp0077792,755,U2af38-PA
FBpp0077793,756,Amnionless-PA
FBpp0077794,757,CG3625-PA
FBpp0077795,758,CG3625-PB
FBpp0111922,759,CG3625-PC
FBpp0077796,760,CG11601-PA
FBpp0077799,761,CG3645-PA
FBpp0077801,762,CG17075-PA
FBpp0077805,763,CG11617-PA
FBpp0077806,764,CG3709-PA
FBpp0290209,765,CG31974-PB
FBpp0303495,766,CG31974-PD
FBpp0291405,767,CG31975-PB
FBpp0291404,768,ovm-PB
FBpp0077818,769,CG13694-PA
FBpp0290667,770,Nhe1-PB
FBpp0288762,771,net-PB
FBpp0077821,772,Cda5-PA
FBpp0077822,773,Cda5-PB
FBpp0301164,774,Cda5-PF
